feature,split_score,gain_score
new_purchase_amount_max,2.103131312814448,5.218813117311275
new_purchase_amount_min,-23.025850929940457,-23.025850929940457
new_purchase_amount_std,1.29800175400152,4.48226590395801
new_installments_sum,-23.025850929940457,-23.025850929940457
new_installments_mean,-23.025850929940457,-23.025850929940457
new_installments_max,-23.025850929940457,-23.025850929940457
new_installments_min,-23.025850929940457,-23.025850929940457
new_installments_std,-1.9187591593081124,0.24916791850759756
new_purchase_month_mean,-1.3652409515303916,0.3283257151116048
new_purchase_month_max,-23.025850929940457,-23.025850929940457
new_purchase_month_min,-1.3862943607198905,0.8380023361054864
new_purchase_month_std,-0.48242614908229275,2.399474463968207
new_purchase_date_ptp,1.1301606464353338,4.417925614780456
new_purchase_date_min,1.4723689699140718,6.600692170898975
new_purchase_date_max,0.4956826437243426,3.9516734927008565
new_month_lag_min,-0.6931471803599453,3.437619156946922
new_month_lag_max,4.934473933131411,14.507713818562534
month_lag_mean,-23.025850929940457,-23.025850929940457
month_lag_std,-23.025850929940457,-23.025850929940457
purchase_amount_count_mean,-23.025850929940457,-23.025850929940457
purchase_amount_count_std,-2.277267284034756,-0.4946058190426989
purchase_amount_sum_mean,-23.025850929940457,-23.025850929940457
purchase_amount_sum_std,-23.025850929940457,-23.025850929940457
purchase_amount_mean_mean,-23.025850929940457,-23.025850929940457
purchase_amount_mean_std,-23.025850929940457,-23.025850929940457
purchase_amount_min_mean,-23.025850929940457,-23.025850929940457
purchase_amount_min_std,-23.025850929940457,-23.025850929940457
purchase_amount_max_mean,-23.025850929940457,-23.025850929940457
purchase_amount_max_std,-23.025850929940457,-23.025850929940457
purchase_amount_std_mean,-3.1780538279479456,-3.3278163796837235
purchase_amount_std_std,-3.4735180400167813,-2.598949980973884
installments_count_mean,-23.025850929940457,-23.025850929940457
installments_count_std,-23.025850929940457,-23.025850929940457
installments_sum_mean,-23.025850929940457,-23.025850929940457
installments_sum_std,-23.025850929940457,-23.025850929940457
installments_mean_mean,-23.025850929940457,-23.025850929940457
installments_mean_std,-23.025850929940457,-23.025850929940457
installments_min_mean,-23.025850929940457,-23.025850929940457
installments_min_std,-23.025850929940457,-23.025850929940457
installments_max_mean,-23.025850929940457,-23.025850929940457
installments_max_std,-23.025850929940457,-23.025850929940457
installments_std_mean,-23.025850929940457,-23.025850929940457
installments_std_std,-2.5257286430582555,-1.341058050406452
authorized_flag_sum,-23.025850929940457,-23.025850929940457
authorized_flag_mean,-0.21542150509626098,2.336668031686992
