iter	RMSE	RMSE
3800	1.566965175	1.566965175
3850	1.566689681	1.566689681
3900	1.566433999	1.566433999
3950	1.566189195	1.566189195
4000	1.565939733	1.565939733
4050	1.565690078	1.565690078
4100	1.565459201	1.565459201
4150	1.565226458	1.565226458
4200	1.564992173	1.564992173
4250	1.564749544	1.564749544
4300	1.564535388	1.564535388
4350	1.564309783	1.564309783
4400	1.56408854	1.56408854
4450	1.563842745	1.563842745
4500	1.563626717	1.563626717
4550	1.563423746	1.563423746
4600	1.563216409	1.563216409
4650	1.563023223	1.563023223
4700	1.562822233	1.562822233
4750	1.562619469	1.562619469
4800	1.562416515	1.562416515
4850	1.562219798	1.562219798
4900	1.562029212	1.562029212
4950	1.561838457	1.561838457
5000	1.561658764	1.561658764
5050	1.561472219	1.561472219
5100	1.561286464	1.561286464
5150	1.561091284	1.561091284
5200	1.56090806	1.56090806
5250	1.560726203	1.560726203
5300	1.560553864	1.560553864
5350	1.560386769	1.560386769
5400	1.56022482	1.56022482
5450	1.560059687	1.560059687
5500	1.559896462	1.559896462
5550	1.559741473	1.559741473
5600	1.559578298	1.559578298
5650	1.55942253	1.55942253
5700	1.559266515	1.559266515
5750	1.559105674	1.559105674
5800	1.558946841	1.558946841
5850	1.558789651	1.558789651
5900	1.558636001	1.558636001
5950	1.558488381	1.558488381
6000	1.558337326	1.558337326
6050	1.558184137	1.558184137
6100	1.558039236	1.558039236
6150	1.557891115	1.557891115
6200	1.557743584	1.557743584
6250	1.557598756	1.557598756
6300	1.557454729	1.557454729
6350	1.557305094	1.557305094
6400	1.557163803	1.557163803
6450	1.557023672	1.557023672
6500	1.556883772	1.556883772
6550	1.556744875	1.556744875
6600	1.556610998	1.556610998
6650	1.556467764	1.556467764
6700	1.556341529	1.556341529
6750	1.556202443	1.556202443
6800	1.556074514	1.556074514
6850	1.555945037	1.555945037
6900	1.55582472	1.55582472
6950	1.555688681	1.555688681
7000	1.555563929	1.555563929
7050	1.555435308	1.555435308
7100	1.555312979	1.555312979
7150	1.555192821	1.555192821
7200	1.555069489	1.555069489
7250	1.554937584	1.554937584
7300	1.554823233	1.554823233
7350	1.55470836	1.55470836
7400	1.554579492	1.554579492
7450	1.554463498	1.554463498
7500	1.554340025	1.554340025
7550	1.554230482	1.554230482
7600	1.554114002	1.554114002
7650	1.553990717	1.553990717
7700	1.553876196	1.553876196
7750	1.553764767	1.553764767
7800	1.553646563	1.553646563
7850	1.55353384	1.55353384
7900	1.55340891	1.55340891
7950	1.553297028	1.553297028
8000	1.553177684	1.553177684
8050	1.553066139	1.553066139
8100	1.552955181	1.552955181
8150	1.552843298	1.552843298
8200	1.552731336	1.552731336
8250	1.552619294	1.552619294
8300	1.55251479	1.55251479
8350	1.552410721	1.552410721
8400	1.552303047	1.552303047
8450	1.552194043	1.552194043
8500	1.552085257	1.552085257
8550	1.551981221	1.551981221
8600	1.551876426	1.551876426
8650	1.551767818	1.551767818
8700	1.551658285	1.551658285
8750	1.551551271	1.551551271
8800	1.551447351	1.551447351
8850	1.551335558	1.551335558
8900	1.551234687	1.551234687
8950	1.551136013	1.551136013
9000	1.551033808	1.551033808
9050	1.550932865	1.550932865
9100	1.550826445	1.550826445
9150	1.55072729	1.55072729
9200	1.550621114	1.550621114
9250	1.550522489	1.550522489
9300	1.55042213	1.55042213
9350	1.5503134	1.5503134
9400	1.550217539	1.550217539
9450	1.550121862	1.550121862
9500	1.550026386	1.550026386
9550	1.549933748	1.549933748
9600	1.54983757	1.54983757
9650	1.54974249	1.54974249
9700	1.549647364	1.549647364
9750	1.549553405	1.549553405
9800	1.549464281	1.549464281
9850	1.549368082	1.549368082
9900	1.549278868	1.549278868
9950	1.549179681	1.549179681
9999	1.549088796	1.549088796
